date,label,risk_multiplier,rain_anom_30d,dry_frac_30d
2018-08-14,calm_bull,0.9,1.3362,0.0333
2018-08-15,calm_bull,1.0,1.3971,0.0333
2018-08-16,calm_bull,1.0,1.3618,0.0333
2018-08-17,calm_bull,1.0,1.241,0.0333
2018-08-20,calm_bull,1.0,1.166,0.0333
2018-08-21,calm_bull,0.9,1.2135,0.0333
2018-08-22,calm_bull,0.9,1.0939,0.0333
2018-08-23,calm_bull,0.9,1.0711,0.0333
2018-08-24,crisis,0.36,0.9956,0.0333
2018-08-27,crisis,0.4,1.0929,0.0333
2018-08-28,crisis,0.36,1.0486,0.0667
2018-08-29,crisis,0.36,0.8957,0.0667
2018-08-30,crisis,0.36,0.8469,0.0667
2018-08-31,crisis,0.36,0.8471,0.0667
2018-09-04,crisis,0.36,0.7116,0.0667
2018-09-05,crisis,0.4,0.48,0.0667
2018-09-06,crisis,0.36,0.4798,0.0667
2018-09-07,crisis,0.4,0.4031,0.0667
2018-09-10,crisis,0.36,0.5489,0.0667
2018-09-11,crisis,0.36,0.6045,0.0667
2018-09-12,crisis,0.36,0.6441,0.0667
2018-09-13,crisis,0.36,0.7504,0.0667
2018-09-14,crisis,0.36,0.6931,0.0667
2018-09-17,crisis,0.36,0.915,0.0667
2018-09-18,crisis,0.36,1.0175,0.0667
2018-09-19,crisis,0.36,1.0717,0.0667
2018-09-20,crisis,0.4,0.9061,0.0667
2018-09-21,crisis,0.4,0.9867,0.0667
2018-09-24,crisis,0.4,1.1801,0.0667
2018-09-25,crisis,0.4,1.1402,0.0667
2018-09-26,crisis,0.4,0.9526,0.0667
2018-09-27,crisis,0.4,0.9682,0.0333
2018-09-28,crisis,0.4,0.9871,0.0333
2018-10-01,crisis,0.4,0.9805,0.0333
2018-10-02,crisis,0.4,1.0429,0.0333
2018-10-03,crisis,0.4,1.1558,0.0333
2018-10-04,crisis,0.4,1.1837,0.0333
2018-10-05,crisis,0.4,1.1461,0.0333
2018-10-08,euphoric,0.85,0.8984,0.1333
2018-10-09,euphoric,0.85,0.7662,0.1667
2018-10-10,euphoric,0.85,0.7266,0.2
2018-10-11,euphoric,0.85,0.6254,0.2333
2018-10-12,euphoric,0.765,0.5452,0.2667
2018-10-15,euphoric,0.765,0.3395,0.3333
2018-10-16,euphoric,0.765,0.2971,0.3667
2018-10-17,euphoric,0.765,0.0909,0.3667
2018-10-18,euphoric,0.765,-0.0308,0.4
2018-10-19,euphoric,0.765,-0.1111,0.4333
2018-10-22,euphoric,0.765,-0.3603,0.5333
2018-10-23,euphoric,0.765,-0.477,0.5667
2018-10-24,euphoric,0.765,-0.5104,0.6
2018-10-25,euphoric,0.765,-0.5195,0.6333
2018-10-26,euphoric,0.765,-0.5383,0.6667
2018-10-29,euphoric,0.765,-0.5852,0.7333
2018-10-30,euphoric,0.85,-0.6043,0.7667
2018-10-31,euphoric,0.85,-0.6482,0.8
2018-11-01,euphoric,0.765,-0.7786,0.8333
2018-11-02,euphoric,0.765,-1.013,0.8667
2018-11-05,euphoric,0.765,-1.1581,0.9333
2018-11-06,euphoric,0.85,-1.152,0.9333
2018-11-07,euphoric,0.765,-1.122,0.9
2018-11-08,euphoric,0.765,-1.1161,0.9
2018-11-09,euphoric,0.85,-1.1145,0.9
2018-11-12,euphoric,0.85,-1.1018,0.9
2018-11-13,euphoric,0.85,-1.1073,0.9333
2018-11-14,euphoric,0.85,-1.1012,0.9333
2018-11-15,euphoric,0.85,-1.0952,0.9333
2018-11-16,euphoric,0.85,-1.1086,0.9667
2018-11-19,euphoric,0.85,-0.5994,0.9
2018-11-20,euphoric,0.85,-0.5955,0.9
2018-11-21,euphoric,0.85,-0.5986,0.9
2018-11-23,euphoric,0.85,-0.5766,0.8667
2018-11-26,euphoric,0.85,-0.2186,0.7667
2018-11-27,euphoric,0.85,-0.2073,0.7333
2018-11-28,euphoric,0.85,-0.2049,0.7333
2018-11-29,crisis,0.4,-0.2016,0.7333
2018-11-30,crisis,0.36,-0.1984,0.7333
2018-12-03,crisis,0.36,-0.1876,0.7333
2018-12-04,crisis,0.36,-0.1874,0.7333
2018-12-06,crisis,0.36,-0.1847,0.7333
2018-12-07,crisis,0.36,-0.209,0.7667
2018-12-10,crisis,0.36,-0.2085,0.7667
2018-12-11,crisis,0.36,-0.2084,0.7667
2018-12-12,crisis,0.36,-0.2083,0.7667
2018-12-13,crisis,0.36,-0.2081,0.7667
2018-12-14,crisis,0.36,-0.2044,0.7667
2018-12-17,crisis,0.36,-0.4356,0.8
2018-12-18,crisis,0.36,-0.7164,0.8333
2018-12-19,crisis,0.36,-0.7147,0.8333
2018-12-20,crisis,0.36,-0.7151,0.8333
2018-12-21,crisis,0.36,-0.7156,0.8333
2018-12-24,crisis,0.36,-1.0089,0.8333
2018-12-26,crisis,0.36,-1.0038,0.8667
2018-12-27,crisis,0.36,-0.8819,0.8667
2018-12-28,crisis,0.36,-0.8732,0.8667
2018-12-31,crisis,0.36,-0.8634,0.8667
2019-01-02,crisis,0.36,-0.8498,0.8333
2019-01-03,crisis,0.4,-0.8503,0.8333
2019-01-04,crisis,0.4,-0.849,0.8333
2019-01-07,crisis,0.4,-0.8505,0.8333
2019-01-08,crisis,0.4,-0.8419,0.8
2019-01-09,crisis,0.4,-0.8424,0.8
2019-01-10,crisis,0.4,-0.842,0.8
2019-01-11,crisis,0.4,-0.8425,0.8
2019-01-14,crisis,0.4,-0.8512,0.8
2019-01-15,crisis,0.4,-0.7866,0.7667
2019-01-16,crisis,0.4,-0.7873,0.7667
2019-01-17,crisis,0.4,-0.7881,0.7667
2019-01-18,crisis,0.4,-0.7881,0.7667
2019-01-22,crisis,0.4,-0.8024,0.8
2019-01-23,crisis,0.4,-0.8177,0.8333
2019-01-24,crisis,0.4,-0.8186,0.8333
2019-01-25,calm_bull,1.0,-0.8839,0.8667
2019-01-28,calm_bull,1.0,-1.0263,0.9
2019-01-29,calm_bull,1.0,-1.0273,0.9
2019-01-30,calm_bull,1.0,-1.0337,0.9
2019-01-31,calm_bull,1.0,-1.0355,0.9
2019-02-01,calm_bull,1.0,-1.0492,0.9333
2019-02-04,calm_bull,1.0,-1.0508,0.9333
2019-02-05,calm_bull,1.0,-1.0508,0.9333
2019-02-06,calm_bull,1.0,-1.0526,0.9333
2019-02-07,calm_bull,1.0,-1.0616,0.9667
2019-02-08,calm_bull,1.0,-1.0615,0.9667
2019-02-11,calm_bull,1.0,-1.0624,0.9667
2019-02-12,calm_bull,1.0,-1.0569,0.9667
2019-02-13,calm_bull,1.0,-1.0569,0.9667
2019-02-14,calm_bull,1.0,-1.1222,1.0
2019-02-15,crisis,0.4,-1.1218,1.0
2019-02-19,crisis,0.4,-1.1171,1.0
2019-02-20,crisis,0.4,-1.1169,1.0
2019-02-21,crisis,0.4,-1.1168,1.0
2019-02-22,crisis,0.4,-1.1167,1.0
2019-02-25,crisis,0.4,-1.1166,1.0
2019-02-26,crisis,0.36,-1.1165,1.0
2019-02-27,crisis,0.4,-1.1165,1.0
2019-02-28,crisis,0.4,-1.1165,1.0
2019-03-01,crisis,0.4,-1.1165,1.0
2019-03-04,crisis,0.36,-1.1163,1.0
2019-03-05,crisis,0.4,-1.1162,1.0
2019-03-06,crisis,0.4,-1.1161,1.0
2019-03-07,crisis,0.36,-1.1151,1.0
2019-03-08,crisis,0.4,-1.1142,1.0
2019-03-11,crisis,0.36,-1.104,1.0
2019-03-12,crisis,0.36,-1.0823,0.9667
2019-03-13,crisis,0.4,-1.0742,0.9667
2019-03-14,crisis,0.4,-1.0798,0.9667
2019-03-15,crisis,0.4,-1.0797,0.9667
2019-03-18,crisis,0.4,-1.071,0.9667
2019-03-19,crisis,0.4,-1.0705,0.9667
2019-03-20,crisis,0.4,-1.0709,0.9667
2019-03-21,crisis,0.4,-1.0735,0.9667
2019-03-22,crisis,0.4,-1.0653,0.9667
2019-03-25,crisis,0.4,-1.0542,0.9667
2019-03-26,crisis,0.4,-1.0533,0.9667
2019-03-27,crisis,0.4,-1.0525,0.9667
2019-03-28,crisis,0.4,-1.0516,0.9667
2019-03-29,crisis,0.4,-0.9966,0.9333
2019-04-01,crisis,0.36,-0.9146,0.8667
2019-04-02,crisis,0.36,-0.9145,0.8667
2019-04-03,crisis,0.4,-0.9099,0.8667
2019-04-04,crisis,0.4,-0.8982,0.8333
2019-04-05,crisis,0.4,-0.8982,0.8333
2019-04-08,crisis,0.4,-0.9008,0.8333
2019-04-09,crisis,0.4,-0.9044,0.8333
2019-04-10,crisis,0.4,-0.907,0.8333
2019-04-11,crisis,0.36,-0.9231,0.8667
2019-04-12,crisis,0.36,-0.8698,0.8333
2019-04-15,crisis,0.36,-0.7281,0.7333
2019-04-16,crisis,0.36,-0.7194,0.7
2019-04-17,crisis,0.36,-0.5601,0.6667
